"","YEAR","SPECIES","DISTRICT","SAM"
"1",1980,"SNOW","ALL",45.4824057740946
"2",1981,"SNOW","ALL",40.9471733470888
"3",1982,"SNOW","ALL",38.5386494335565
"4",1983,"SNOW","ALL",41.5214428605667
"5",1984,"SNOW","ALL",49.8976712125163
"6",1985,"SNOW","ALL",50.8773404799803
"7",1986,"SNOW","ALL",60.4495810521063
"8",1987,"SNOW","ALL",59.8009603475742
"9",1988,"SNOW","ALL",47.3471780948427
"10",1989,"SNOW","ALL",49.6657092819834
"11",1990,"SNOW","ALL",62.6386562406599
"12",1991,"SNOW","ALL",63.0807608130773
"13",1992,"SNOW","ALL",50.4426267163966
"14",1993,"SNOW","ALL",49.1282437725468
"15",1994,"SNOW","ALL",47.8155876773821
"16",1995,"SNOW","ALL",45.7002204343154
"17",1996,"SNOW","ALL",42.4055310587853
"18",1997,"SNOW","ALL",47.8705745243554
"19",1998,"SNOW","ALL",57.7753037561493
"20",1999,"SNOW","ALL",49.1932388686909
"21",2000,"SNOW","ALL",48.9481839662061
"22",2001,"SNOW","ALL",49.5447761005209
"23",2002,"SNOW","ALL",57.6438830994333
"24",2003,"SNOW","ALL",56.3313908434586
"25",2004,"SNOW","ALL",48.6308585293391
"26",2005,"SNOW","ALL",55.5387656369423
"27",2006,"SNOW","ALL",55.6832419380094
"28",2007,"SNOW","ALL",56.6586957314334
"29",2008,"SNOW","ALL",51.4315850167628
"30",2009,"SNOW","ALL",54.4791308518558
"31",2010,"SNOW","ALL",51.4837453185359
"32",2011,"SNOW","ALL",46.8279954442453
"33",2012,"SNOW","ALL",47.9864223686094
"34",2013,"SNOW","ALL",51.4297083028511
"35",2014,"SNOW","ALL",62.9725923259923
"36",2015,"SNOW","ALL",53.8278125619511
"37",2016,"SNOW","ALL",53.2847180703858
"38",2017,"SNOW","ALL",46.1190781294387
"39",2018,"SNOW","ALL",46.7394397805316
"40",2019,"SNOW","ALL",37.3589793414896
"41",2021,"SNOW","ALL",50.4592725744515
"42",2022,"SNOW","ALL",52.5577898074012
"43",2023,"SNOW","ALL",53.5837005842601
"44",2024,"SNOW","ALL",62.8742267051246
"45",2025,"SNOW","ALL",57.7317335476807
