"","YEAR","SPECIES","DISTRICT","SAM"
"1",1989,"SNOW","ALL",97.0606816459267
"2",1990,"SNOW","ALL",100.385253840943
"3",1991,"SNOW","ALL",100.55735999266
"4",1992,"SNOW","ALL",91.1080017592255
"5",1993,"SNOW","ALL",70.3840647526093
"6",1994,"SNOW","ALL",94.8202142579643
"7",1995,"SNOW","ALL",95.857281466798
"8",1996,"SNOW","ALL",99.0862414047483
"9",1997,"SNOW","ALL",100.630762668057
"10",1998,"SNOW","ALL",95.897962318914
"11",1999,"SNOW","ALL",91.547002368892
"12",2000,"SNOW","ALL",90.4413326229298
"13",2001,"SNOW","ALL",94.281355940807
"14",2002,"SNOW","ALL",95.0616873179697
"15",2003,"SNOW","ALL",98.3404105460685
"16",2004,"SNOW","ALL",92.6797107377697
"17",2005,"SNOW","ALL",84.3260936863907
"18",2006,"SNOW","ALL",93.0316151151694
"19",2007,"SNOW","ALL",95.1136945023717
"20",2009,"SNOW","ALL",97.8938558876089
"21",2010,"SNOW","ALL",89.9063531208863
"22",2011,"SNOW","ALL",88.7518220400263
"23",2013,"SNOW","ALL",93.7413659952572
"24",2015,"SNOW","ALL",92.6429475999246
"25",2017,"SNOW","ALL",84.0514787925216
"26",2018,"SNOW","ALL",71.4175165170822
"27",2019,"SNOW","ALL",86.9207189182225
"28",2021,"SNOW","ALL",88.1806624401437
"29",2022,"SNOW","ALL",89.9996024404669
"30",2023,"SNOW","ALL",92.4028374866987
"31",2024,"SNOW","ALL",94.1912632791433
"32",2025,"SNOW","ALL",77.0948842253257
