"","X","YEAR","SPECIES","DISTRICT","SAM"
"1",1,1989,"SNOW","ALL",97.0606825609146
"2",2,1990,"SNOW","ALL",100.385254727979
"3",3,1991,"SNOW","ALL",100.557360482506
"4",4,1992,"SNOW","ALL",91.1080058381671
"5",5,1993,"SNOW","ALL",70.3840662686018
"6",6,1994,"SNOW","ALL",94.8202156987055
"7",7,1995,"SNOW","ALL",95.8572835497932
"8",8,1996,"SNOW","ALL",99.0862428237685
"9",9,1997,"SNOW","ALL",100.630764531585
"10",10,1998,"SNOW","ALL",95.8979644825173
"11",11,1999,"SNOW","ALL",91.5470063995092
"12",12,2000,"SNOW","ALL",90.4413367281726
"13",13,2001,"SNOW","ALL",94.281358656329
"14",14,2002,"SNOW","ALL",95.0616900797902
"15",15,2003,"SNOW","ALL",98.3404121342544
"16",16,2004,"SNOW","ALL",92.6797138328424
"17",17,2005,"SNOW","ALL",84.3261216592484
"18",18,2006,"SNOW","ALL",93.0316203351604
"19",19,2007,"SNOW","ALL",95.113697200435
"20",20,2009,"SNOW","ALL",97.8938582650882
"21",21,2010,"SNOW","ALL",89.9063608946801
"22",22,2011,"SNOW","ALL",88.7518258385075
"23",23,2013,"SNOW","ALL",93.741372276883
"24",24,2015,"SNOW","ALL",92.6429516924348
"25",25,2017,"SNOW","ALL",84.0514845911425
"26",26,2018,"SNOW","ALL",71.4175260904935
"27",27,2019,"SNOW","ALL",86.9207283526579
"28",28,2021,"SNOW","ALL",88.1806685402375
"29",29,2022,"SNOW","ALL",89.9996099442035
"30",30,2023,"SNOW","ALL",92.4028486235525
"31",31,2024,"SNOW","ALL",94.1912692224542
"32",32,2025,"SNOW","ALL",77.0949001596041
