"","YEAR","SPECIES","DISTRICT","SIZE_5MM","denom","num","PROP_MATURE"
"1",1989,"SNOW","ALL",17.5,72.097125258211,0.000405262684475207,5.62106579178831e-06
"2",1989,"SNOW","ALL",22.5,378.174985891433,0.119605097684357,0.000316269193221291
"3",1989,"SNOW","ALL",27.5,418.061028613912,0.584059483240543,0.00139706751709673
"4",1989,"SNOW","ALL",32.5,1993.14812157447,2.73591183111098,0.00137265856034311
"5",1989,"SNOW","ALL",37.5,9387.08044017594,52.6000049824611,0.00560344670717185
"6",1989,"SNOW","ALL",42.5,24166.2249174487,452.524700609991,0.0187255023139032
"7",1989,"SNOW","ALL",47.5,19539.8077333241,977.727948526106,0.0500377466283172
"8",1989,"SNOW","ALL",52.5,16233.1551578464,1840.53827450382,0.113381425644428
"9",1989,"SNOW","ALL",57.5,15850.2811454899,3089.41334804113,0.194912211315582
"10",1989,"SNOW","ALL",62.5,17157.9840594753,4446.40549525683,0.259144983457503
"11",1989,"SNOW","ALL",67.5,22732.4412439778,6541.74992505638,0.287771553210961
"12",1989,"SNOW","ALL",72.5,25908.0621087012,8094.77853723911,0.312442455297361
"13",1989,"SNOW","ALL",77.5,21777.349590299,7181.51720660864,0.329770029030885
"14",1989,"SNOW","ALL",82.5,17513.0443891766,5549.5104263804,0.316878682144499
"15",1989,"SNOW","ALL",87.5,12896.7708979916,3996.4541099009,0.309880212768861
"16",1989,"SNOW","ALL",92.5,9468.57379483348,3451.62761056629,0.364535112188667
"17",1989,"SNOW","ALL",97.5,6520.45542741887,3345.3129603704,0.513048972975596
"18",1989,"SNOW","ALL",102.5,3805.22527817946,2609.11982825775,0.685667637923932
"19",1989,"SNOW","ALL",107.5,2325.08844409293,2002.00805110446,0.861045977064109
"20",1989,"SNOW","ALL",112.5,1182.7650372895,1089.68426208529,0.921302395429678
"21",1989,"SNOW","ALL",117.5,756.078953052114,712.215642307867,0.941985806419845
"22",1989,"SNOW","ALL",122.5,483.837758542355,464.001485352512,0.959002221633956
"23",1989,"SNOW","ALL",127.5,178.485146558265,175.04876871536,0.980746981420197
"24",1989,"SNOW","ALL",132.5,58.4556891564053,58.075425377914,0.993494837132552
"25",1989,"SNOW","ALL",137.5,30.1119308828616,29.897916226925,0.992892695696961
"26",1989,"SNOW","ALL",142.5,2.38684857313126,2.37734226961249,0.996017215492517
"27",1990,"SNOW","ALL",7.5,4480.05975640396,0.000525817122366402,1.17368327869908e-07
"28",1990,"SNOW","ALL",12.5,726.134142363297,0.00539112521127813,7.42442049857622e-06
"29",1990,"SNOW","ALL",17.5,265.245323824958,0.000335143108442532,1.26352127008166e-06
"30",1990,"SNOW","ALL",22.5,585.845997643854,0.100941332715474,0.0001723001149132
"31",1990,"SNOW","ALL",27.5,1877.89304066074,1.20646392220825,0.000642456144245441
"32",1990,"SNOW","ALL",32.5,11158.5311764375,9.17702971325347,0.000822422733614955
"33",1990,"SNOW","ALL",37.5,14479.1201061659,29.9392653399355,0.00206775447129456
"34",1990,"SNOW","ALL",42.5,9728.9949849793,111.099786001231,0.0114194514616113
"35",1990,"SNOW","ALL",47.5,11921.5963093723,364.202248517967,0.0305497887251598
"36",1990,"SNOW","ALL",52.5,14244.5511463552,1019.34732658879,0.0715605087247423
"37",1990,"SNOW","ALL",57.5,14312.6126190087,1690.31531452149,0.118099704052395
"38",1990,"SNOW","ALL",62.5,12158.6897620378,1837.93532214203,0.151162284597513
"39",1990,"SNOW","ALL",67.5,11445.0651124699,2135.31353384329,0.186570675907887
"40",1990,"SNOW","ALL",72.5,10983.5560253784,2740.94461768892,0.249549837170742
"41",1990,"SNOW","ALL",77.5,11507.8148571443,3340.42048669764,0.290274090100071
"42",1990,"SNOW","ALL",82.5,13383.5113526123,3893.06348133035,0.290885058394668
"43",1990,"SNOW","ALL",87.5,14390.6045424934,4297.9397594811,0.29866290514689
"44",1990,"SNOW","ALL",92.5,19510.1703436734,6238.11037037257,0.319736335484914
