"","selectivity","size","year"
"1",0.0146568908784067,27.5,"2009"
"2",0.0516253844809632,32.5,"2009"
"3",0.164678441635478,37.5,"2009"
"4",0.388708777268429,42.5,"2009"
"5",0.160612307274108,47.5,"2009"
"6",0.227450969307432,52.5,"2009"
"7",0.215840803458098,57.5,"2009"
"8",0.200114892421053,62.5,"2009"
"9",0.192622615823064,67.5,"2009"
"10",0.278958217897135,72.5,"2009"
"11",0.296331496362132,77.5,"2009"
"12",0.332276471144489,82.5,"2009"
"13",0.396172229496545,87.5,"2009"
"14",0.415738195555307,92.5,"2009"
"15",0.44773006120427,97.5,"2009"
"16",0.389124953689487,102.5,"2009"
"17",0.524952627542688,107.5,"2009"
"18",0.646958575460857,112.5,"2009"
"19",0.891794252272922,117.5,"2009"
"20",0.924340217373437,122.5,"2009"
"21",1.03250768961926,127.5,"2009"
"22",0.644284798322421,132.5,"2009"
"23",0.0447814842018363,27.5,"2010"
"24",0.21090328471121,32.5,"2010"
"25",0.322820538631248,37.5,"2010"
"26",0.449186927252799,42.5,"2010"
"27",0.387826769115046,47.5,"2010"
"28",0.336844693811056,52.5,"2010"
"29",0.356287004894633,57.5,"2010"
"30",0.304321210574596,62.5,"2010"
"31",0.209532080012238,67.5,"2010"
"32",0.204257683195013,72.5,"2010"
"33",0.236311053120177,77.5,"2010"
"34",0.189941541411128,82.5,"2010"
"35",0.25720567057974,87.5,"2010"
"36",0.206547998681398,92.5,"2010"
"37",0.218025213362577,97.5,"2010"
"38",0.245444751705992,102.5,"2010"
"39",0.227844410970882,107.5,"2010"
"40",0.314983559876673,112.5,"2010"
"41",0.388204848814082,117.5,"2010"
"42",0.515572647933829,122.5,"2010"
"43",0.663532845713656,127.5,"2010"
"44",1.64739189280632,132.5,"2010"
"45",0.000652602575765923,27.5,"2016"
"47",0.130878887913663,37.5,"2016"
"48",0.785273327481977,42.5,"2016"
"NA",NA,NA,NA
"51",0.184770194701642,57.5,"2016"
"52",0.218131479856105,62.5,"2016"
"53",0.327197219784157,67.5,"2016"
"54",0.533985862687744,72.5,"2016"
"55",0.756189130167829,77.5,"2016"
"56",0.664462046330903,82.5,"2016"
"57",0.567141847625872,87.5,"2016"
"58",0.654394439568314,92.5,"2016"
"59",0.486121583679319,97.5,"2016"
"60",0.743943152351346,102.5,"2016"
"61",0.826603502612607,107.5,"2016"
"62",1.12181903925997,112.5,"2016"
"63",1.22153628719419,117.5,"2016"
"64",0.636708103363765,122.5,"2016"
"65",1.78471210791358,127.5,"2016"
"66",2.19876531694953,132.5,"2016"
"67",0.00627435866667831,27.5,"2017"
"68",0.0650765184606557,32.5,"2017"
"69",0.0890734846430225,37.5,"2017"
"70",1.42517575428836,42.5,"2017"
"72",1.62311683127285,52.5,"2017"
"73",0.677750247594909,57.5,"2017"
"74",0.444137611790061,62.5,"2017"
"75",0.584322059258227,67.5,"2017"
"76",0.558892452662102,72.5,"2017"
"77",0.407520135362776,77.5,"2017"
"78",0.309043487937082,82.5,"2017"
"79",0.280071852210897,87.5,"2017"
"80",0.335774392371603,92.5,"2017"
"81",0.423944686402234,97.5,"2017"
"82",0.475058584762787,102.5,"2017"
"83",0.425914593235602,107.5,"2017"
"84",0.456056241372275,112.5,"2017"
"85",0.343659401743292,117.5,"2017"
"86",0.427552726286508,122.5,"2017"
"87",0.361044524419718,127.5,"2017"
"88",0.237529292381393,132.5,"2017"
"89",0.00610688636209208,27.5,"2018"
"90",0.971326807732832,32.5,"2018"
"92",0.404719503222013,42.5,"2018"
"93",0.637898458321818,47.5,"2018"
"94",0.556499002964784,52.5,"2018"
"95",0.45637262575855,57.5,"2018"
"96",0.49162582379983,62.5,"2018"
"97",0.378016646028435,67.5,"2018"
"98",0.411218098363489,72.5,"2018"
"99",0.447306759703255,77.5,"2018"
"100",0.531418921163033,82.5,"2018"
"101",0.540264427262039,87.5,"2018"
"102",0.584604508124211,92.5,"2018"
"103",0.551048231626405,97.5,"2018"
"104",0.671853219434235,102.5,"2018"
"105",0.695881810368139,107.5,"2018"
"106",0.902835814879876,112.5,"2018"
"107",0.857053065646616,117.5,"2018"
"108",0.404719503222013,122.5,"2018"
"109",0.647551205155221,127.5,"2018"
"110",0.289085359444295,132.5,"2018"
"111",0.14503174334891,27.5,"GAM predictions"
"210",0.249162706668735,32.5,"GAM predictions"
"310",0.343057829754899,37.5,"GAM predictions"
"46",0.414760337158982,42.5,"GAM predictions"
"510",0.455408065545265,47.5,"GAM predictions"
"610",0.464310866828355,52.5,"GAM predictions"
"71",0.450101619818145,57.5,"GAM predictions"
"810",0.42679049247154,62.5,"GAM predictions"
"91",0.406955111591035,67.5,"GAM predictions"
"1010",0.396656741272397,72.5,"GAM predictions"
"112",0.395442011192161,77.5,"GAM predictions"
"121",0.400669816898512,82.5,"GAM predictions"
"131",0.411974517314165,87.5,"GAM predictions"
"141",0.432070612427672,92.5,"GAM predictions"
"151",0.46389466937575,97.5,"GAM predictions"
"161",0.50757620147887,102.5,"GAM predictions"
"171",0.560547960614014,107.5,"GAM predictions"
"181",0.620548870300149,112.5,"GAM predictions"
"191",0.688061857321249,117.5,"GAM predictions"
"201",0.765256208415939,122.5,"GAM predictions"
"211",0.852335427142177,127.5,"GAM predictions"
"221",0.945442045447282,132.5,"GAM predictions"
