Year,Retained_kt,Discarded_males_kt
1982,11.85,1.27
1983,12.16,1.24
1984,29.94,2.76
1985,44.45,4.01
1986,46.22,4.25
1987,61.4,5.52
1988,67.79,5.82
1989,73.33,6.68
1990,149.1,35.55
1991,143,9.03
1992,104.7,21.18
1993,67.94,22.27
1994,34.16,7.78
1995,29.81,14.73
1996,54.24,23.23
1997,110.4,7.1
1998,88.15,19.5
1999,15.1,4.13
2000,11.46,3.25
2001,14.8,3.98
2002,12.84,4.5
2003,10.86,2.4
2004,11.29,3.58
2005,16.77,0.62
2006,16.49,4.17
2007,28.59,5.77
2008,26.56,5.11
2009,21.78,4.28
2010,24.61,4.47
2011,40.29,3.73
2012,30.05,5.53
2013,24.49,10.61
2014,30.82,11.62
2015,18.42,10.9
2016,9.78,4.51
2017,8.6,5.88
2018,12.51,8.63
2019,15.43,15.61
2020,20.41,6.12
2021,2.52,1.68
2022,0,0
2023,0,0
2024,2.15,0.66
