"","YEAR","SAM"
"1",1989,96.9965095752192
"2",1990,100.650551933356
"3",1991,100.662149194076
"4",1992,91.2768616198004
"5",1993,70.4973424277636
"6",1994,94.9120207710386
"7",1995,96.0553035755941
"8",1996,99.106741561463
"9",1997,100.864050257511
"10",1998,96.0352605535542
"11",1999,91.9602562611451
"12",2000,90.6093002266212
"13",2001,94.4084861961262
"14",2002,95.0085004929084
"15",2003,98.4621384809
"16",2004,92.8503683768468
"17",2005,85.9393284421835
"18",2006,92.8083715151718
"19",2007,95.2432720053557
"20",2009,97.6114790754711
"21",2010,90.146213155512
"22",2011,88.6121813382319
"23",2013,93.0639514252835
"24",2015,91.859911372931
"25",2017,83.945465809987
"26",2018,71.0022228207419
"27",2019,86.3583344700887
"28",2021,87.9963019188696
"29",2022,89.553392699474
"30",2023,92.2632965616417
"31",2024,94.2598177306928
"32",2025,76.7640365235315
"33",2008,NA
"34",2012,NA
"35",2014,NA
"36",2016,NA
"37",2020,NA
