"","YEAR","SPECIES","DISTRICT","SAM_mean","SAM_sd","SAM_lo","SAM_hi",".groups"
"1",1990,"TANNER","E166",115.129738164046,1.28689036665899,112.938101582874,117.836080743643,"drop"
"2",1990,"TANNER","W166",113.308745151522,5.01220357892192,104.264613616546,122.60288991594,"drop"
"3",1991,"TANNER","E166",122.411864230439,2.24247319962034,118.349643677117,126.946948932193,"drop"
"4",1991,"TANNER","W166",118.893131137918,9.23499673853351,105.118393241282,130.714848783448,"drop"
"5",1992,"TANNER","E166",126.33702818885,4.85506458298247,116.071133359747,133.84661857263,"drop"
"6",1992,"TANNER","W166",106.978358685358,1.58578122991428,103.797529589406,109.838156205809,"drop"
"7",1993,"TANNER","E166",129.930809738958,3.11124839547939,123.448145555398,135.156455487705,"drop"
"8",1993,"TANNER","W166",96.0335516209257,3.00259321089776,91.7469927417743,103.972740246146,"drop"
"9",1994,"TANNER","E166",112.284454095333,6.77015084428312,87.2709696462412,119.003958283232,"drop"
"10",1994,"TANNER","W166",95.064597256308,5.22752818542187,88.4312916199557,105.17229234252,"drop"
"11",1995,"TANNER","E166",109.910775813972,4.52358464428234,98.5581283839483,115.047293520891,"drop"
"12",1995,"TANNER","W166",93.2458326634559,1.95215419845423,90.5414817346818,97.3467707309603,"drop"
"13",1996,"TANNER","E166",114.541862920262,2.25658958023108,108.549313925629,116.90432960123,"drop"
"14",1996,"TANNER","W166",103.279996970507,3.64413701404191,91.9184985667905,108.364150184655,"drop"
"15",1997,"TANNER","E166",112.575232429915,3.66385991765206,105.416357838041,117.774483985716,"drop"
"16",1997,"TANNER","W166",109.61241047262,3.51208644764437,104.932461073133,118.563516892037,"drop"
"17",1998,"TANNER","E166",108.803011644057,4.94998738728077,98.543639581539,115.239166379877,"drop"
"18",1998,"TANNER","W166",93.7990375865566,3.44337016609807,90.2850001822584,103.956836203936,"drop"
"19",1999,"TANNER","E166",116.682756666439,3.22776650041198,112.269084128223,125.762371423323,"drop"
"20",1999,"TANNER","W166",108.252010440737,4.17906690995307,95.2118395158384,112.891491070515,"drop"
"21",2000,"TANNER","E166",132.0336539327,2.53537692624822,122.268360138282,134.563414924564,"drop"
"22",2000,"TANNER","W166",104.014947663752,0.898113975914093,102.389048607549,105.584221480958,"drop"
"23",2001,"TANNER","E166",118.665117342002,2.17228752838966,112.363001238897,122.32043856158,"drop"
"24",2001,"TANNER","W166",108.935862484591,1.93216673417949,104.89480382874,112.949408080072,"drop"
"25",2002,"TANNER","E166",117.784294694352,5.86720350058606,100.086644067094,127.747649266264,"drop"
"26",2002,"TANNER","W166",105.765295239207,1.54829178746381,102.963406007778,108.624360538165,"drop"
"27",2003,"TANNER","E166",119.44880110835,2.93194638168093,113.417767924174,126.037746332757,"drop"
"28",2003,"TANNER","W166",97.8359913536456,3.55363009237785,92.1706815649448,106.123073616986,"drop"
"29",2004,"TANNER","E166",111.095826496624,4.37799733859986,100.52691932174,118.849067110681,"drop"
"30",2004,"TANNER","W166",120.624631611214,2.13021575907046,115.863107334413,123.559392678401,"drop"
"31",2005,"TANNER","E166",92.9948100397171,2.61230972121673,88.6668327127636,99.1876162009349,"drop"
"32",2005,"TANNER","W166",92.9437919795368,2.42698440852097,89.5955043734259,97.4594726776227,"drop"
"33",2006,"TANNER","E166",117.540757376413,3.07074722193537,109.929583048166,121.444173619274,"drop"
"34",2006,"TANNER","W166",113.520698330975,1.91869296017065,109.456081848999,116.794835476365,"drop"
"35",2007,"TANNER","E166",123.175952449099,3.70854046303198,116.201170683746,133.36101158291,"drop"
"36",2007,"TANNER","W166",110.622807780599,1.78487948929776,107.476812835591,114.242533531787,"drop"
"37",2008,"TANNER","E166",119.3014912938,8.33776999691585,105.078004468541,137.522748205351,"drop"
"38",2008,"TANNER","W166",100.256797378779,4.40761506825854,91.4907521079773,108.06321048024,"drop"
"39",2009,"TANNER","E166",105.167098131103,3.28461203050053,98.3018011305291,109.793378330737,"drop"
"40",2009,"TANNER","W166",106.069914779349,8.09182507773732,91.3212413475465,118.475937648304,"drop"
"41",2010,"TANNER","E166",116.702615246655,8.71234468178354,93.949492218992,131.661111954877,"drop"
"42",2010,"TANNER","W166",98.3990151405645,6.68265594839185,90.8626298281613,107.961365820247,"drop"
"43",2011,"TANNER","E166",102.508402345541,6.82273185355358,87.5645252133952,116.165863585645,"drop"
"44",2011,"TANNER","W166",108.331879180755,12.4277587245474,86.7151488908246,129.012308721586,"drop"
"45",2012,"TANNER","E166",102.429828616791,5.50992522455821,91.2238099199248,111.843710477101,"drop"
"46",2012,"TANNER","W166",110.42245788658,2.29509665380786,104.161584672486,114.233843208059,"drop"
"47",2014,"TANNER","E166",109.281228612071,2.46029338306086,103.923632010593,113.480503144864,"drop"
"48",2014,"TANNER","W166",108.995539279158,3.07164804527493,100.749834880236,113.774443452906,"drop"
"49",2016,"TANNER","E166",114.31426590843,2.33188809826608,109.811973901275,118.162673608406,"drop"
"50",2016,"TANNER","W166",90.4456756727374,3.93503693164205,88.3652060419905,96.321129420559,"drop"
"51",2017,"TANNER","E166",122.997663558958,4.02915841312781,117.466094408112,132.752659590972,"drop"
"52",2017,"TANNER","W166",94.5429029715541,1.06325056544199,92.2916094920922,96.4950899717821,"drop"
"53",2018,"TANNER","E166",107.106175859571,3.83697926966317,98.8191032947938,110.630036888256,"drop"
"54",2018,"TANNER","W166",98.939949332572,3.54746442647491,89.8150358644055,102.502592034904,"drop"
"55",2019,"TANNER","E166",119.597255474237,2.17080110439792,114.77844677,124.515086430871,"drop"
"56",2019,"TANNER","W166",89.7114967507785,1.11684383927416,87.5121134717715,91.8572041644682,"drop"
"57",2021,"TANNER","E166",113.958832667292,1.69147050779944,110.423213643615,117.517440207949,"drop"
"58",2021,"TANNER","W166",100.515024778671,1.76627825316921,96.5418641133066,103.298859498932,"drop"
"59",2022,"TANNER","E166",111.183777093052,1.7781812950437,107.735359567317,114.640778149009,"drop"
"60",2022,"TANNER","W166",101.854807728866,3.20210668997295,91.5945319586827,105.469345275096,"drop"
"61",2023,"TANNER","E166",105.932125772192,1.34925850764903,103.721735996513,107.885769962798,"drop"
"62",2023,"TANNER","W166",90.9609225740927,1.03316507195775,89.1570292424215,93.2113749684953,"drop"
"63",2024,"TANNER","E166",111.238431864374,1.35781548922221,108.570935150222,113.498265407792,"drop"
"64",2024,"TANNER","W166",103.622852772953,1.51401859464993,100.918580761187,106.637513558759,"drop"
"65",2025,"TANNER","E166",113.386013889794,1.30943816650347,110.352339664627,115.291153743849,"drop"
"66",2025,"TANNER","W166",117.702291597503,1.28958692770763,114.902574300796,119.938770564608,"drop"
"67",2013,NA,NA,NA,NA,NA,NA,NA
