"","YEAR","PMAT_5565","MATURE","IMMATURE","TOT_CRAB","SAM","MALE_LG_ABUND","FEM_MAT_ABUND","FEM_COHORT_ABUND","ICE","FEM_TOCC"
"1",1989,0.895236528052705,100764.221600384,11791.7548850301,112555.976485414,49.6657092819844,538.425025472484,11602.3715303444,357.857050382019,-0.409905303255734,2.52998231360425
"2",1990,0.807850614117503,73595.2750004004,17504.8290464301,91100.1040468305,62.63865624066,1238.6064702289,33077.9865147773,917.575485806711,0.166117408933716,0.996373250637287
"3",1991,0.812911431630398,88016.5331818071,20256.6805498274,108273.213731635,63.0807608130772,737.383020897165,69258.878969516,1220.36286907822,0.635981181981499,1.26996471528467
"4",1992,0.864832382103313,61734.3799433661,9648.67788481693,71383.0578281831,50.4426267163966,459.30234740575,29391.9558402301,1955.25390957663,0.571038990155859,0.411079780278565
"5",1993,0.90201245764219,46859.8168745127,5090.48212357616,51950.2989980889,49.1282437725469,273.877879066062,24193.8322268776,3261.45344075096,-0.0191538569166642,1.22425650978017
"6",1994,0.919556923993024,76602.137979606,6701.17471470106,83303.3126943071,47.815587677382,161.610620810428,21138.2097276213,3485.03231825996,0.0501962644839236,-0.857690647830924
"7",1995,0.972177269633447,75584.2553891057,2163.1449565167,77747.4003456224,45.7002204343155,234.479981017396,8902.80882618971,1241.29515644804,0.8341554134424,0.192542698111426
"8",1996,0.968091530498273,41964.5310836823,1383.15842877869,43347.689512461,42.4055310587853,471.965561334923,4686.79306755026,260.961305550614,-0.479349092466424,2.49911221600817
"9",1997,0.980151879908679,46241.28765463,936.388175505934,47177.6758301359,47.870574524355,526.284706327662,4571.76843400313,75.9285439032392,0.247308363734211,1.75467833478433
"10",1998,0.87844192508135,33461.0657721969,4630.31490626759,38091.3806784645,57.7753037561487,394.752835152836,8222.03137779788,129.660182282975,0.40243487661999,1.8856636930762
"11",1999,0.878990310114837,16781.7126276313,2310.3210779949,19092.0337056262,49.1932388686908,184.077799501244,3348.88486592658,114.778640405944,0.527141573523973,-0.0557018479226126
"12",2000,0.93787906894414,39502.052731954,2616.43998206428,42118.4927140182,48.948183966206,177.015112495078,6476.97212358635,317.254967288205,0.730367646691497,0.310921076502529
"13",2001,0.857676692954777,56479.6770858811,9372.26636766352,65851.9434535446,49.5447761005215,197.767607505504,5792.44039997049,408.757479672073,-0.891115334341381,1.16470112164045
"14",2002,0.899018480312867,15929.9930748734,1789.32351729455,17719.316592168,57.6438830994322,170.685388573342,2112.07057243822,65.6767711332429,0.405514785237035,1.95407849738362
"15",2003,0.865734813388354,24308.6666826316,3769.98547124353,28078.6521538751,56.3313908434563,166.209699244284,37841.8531055526,334.417181383936,-0.488111616669336,2.29996308009143
"16",2004,0.952673964464986,26854.0083037497,1334.02800815968,28188.0363119094,48.6308585293384,138.016972316575,11020.7020760471,2163.39978234586,-0.253235560107005,1.72089077841375
"17",2005,0.719374878984985,36180.4156619838,14113.8282974845,50294.2439594682,55.5387656369435,157.082752521991,6736.90931995881,883.035951247144,-0.52143106143136,1.77474930061522
"18",2006,0.742626901541989,46051.0813022737,15959.9786346251,62011.0599368988,55.6832419380089,116.594971594214,5887.63530656641,623.017350235067,0.238741561712598,-0.355742086957468
"19",2007,0.699904908587241,32230.0179406037,13819.1203711422,46049.1383117459,56.6586957314326,284.960433847616,4244.86614995532,156.487860523983,0.184836056938085,-0.199329095140159
"20",2008,0.886612522175631,32448.6384311384,4149.80521763128,36598.4436487697,51.4315850167624,247.922069569334,35811.1884179484,111.051382199912,0.887571189818865,0.165285605214171
"21",2009,0.905067091046743,33614.041564428,3525.79248428559,37139.8340487136,54.4791308518558,297.49937172099,12626.4638357187,790.056197585947,0.768467767307556,-0.422341931908256
"22",2010,0.874272063424213,49182.263953162,7072.8378746747,56255.1018278367,51.483745318536,298.888127479838,20560.7977566466,3009.6927881686,0.788099222214449,-0.182565813514796
"23",2011,0.79820117790854,77975.2491442286,19713.4680643085,97688.7172085371,46.8279954442455,309.980202982716,14366.4644822227,895.714308711487,-0.0183316356365743,1.25347740327387
