"","YEAR","PMAT_5565","MATURE","IMMATURE","TOT_CRAB","SAM","type","MALE_LG_ABUND","FEM_MAT_ABUND","FEM_COHORT_ABUND","ICE","FEM_TOCC"
"1",1989,0.894953338136545,76054.2017138562,8926.99057066538,84981.1922845215,49.6657092819834,"k=5",526.76485541288,9541.08680331333,610.384404563699,0.143299242914939,2.44296260536003
"2",1990,0.807653622808478,55543.3736497677,13227.9066134534,68771.2802632211,62.6386562406599,"k=5",1211.67765393119,6122.04864308561,1473.89281725294,0.309769648337851,0.829503405925122
"3",1991,0.813056902390067,66509.0122861245,15292.1655780744,81801.1778641989,63.0807608130773,"k=5",717.212455929488,7224.6813921263,2036.63325500811,0.378564515405772,1.17040786208546
"4",1992,0.864489088324044,46555.4727233744,7297.69136181945,53853.1640851939,50.4426267163966,"k=5",445.062631468853,4274.76803555549,3272.01098859995,0.371333362812899,0.323556979359152
"5",1993,0.901533330953702,35495.2613344454,3876.8396359049,39372.1009703503,49.1282437725468,"k=5",266.289907643921,5068.34162367866,5441.36981233208,0.253824332101004,1.18412206679851
"6",1994,0.918952577723666,57638.7514662601,5083.47475463676,62722.2262208969,47.8155876773821,"k=5",156.983474761467,4625.2428541563,5825.94146243203,0.276512058803013,-1.00269198902717
"7",1995,0.971978940558874,57373.0818837539,1654.00140959934,59027.0832933532,45.7002204343154,"k=5",229.318944151705,6459.61545563941,2046.16579117155,0.401109550631776,0.00429770734531202
"8",1996,0.967766382171331,31804.1059171282,1059.30668227501,32863.4125994032,42.4055310587853,"k=5",463.185773957072,4494.1832693263,437.642111097072,0.139272242954799,2.4261117783981
"9",1997,0.979994022473282,35161.2710547587,717.795805281588,35879.0668600402,47.8705745243554,"k=5",512.738626330108,4203.45976897295,124.911720471337,0.322271286322146,1.73828308140995
"10",1998,0.878565187412526,25390.782500643,3509.50044298438,28900.2829436274,57.7753037561493,"k=5",385.055634572404,2902.14085954113,215.738235178106,0.333276566485969,1.85951675339991
"11",1999,0.880126891519718,12706.0433259332,1730.560586934,14436.6039128672,49.1932388686909,"k=5",179.227406760192,1124.29056315892,190.561598106522,0.371036071777344,-0.0390638156223799
"12",2000,0.937772563695607,29999.1750801854,1990.64445768166,31989.8195378671,48.9481839662061,"k=5",172.297895051465,3310.84811716307,532.531071633834,0.300246644312022,0.274862430070488
"13",2001,0.856972345797165,42857.1507226528,7152.80692981568,50009.9576524685,49.5447761005209,"k=5",192.964458493203,2448.72859439721,695.080894165843,0.036588763801419,0.989098652511394
"14",2002,0.897666130698253,12026.3492927416,1371.00288694558,13397.3521796871,57.6438830994333,"k=5",166.880936823781,1001.15054102103,111.878899152898,0.303781676000478,1.95044941260905
"15",2003,0.865144112381996,18456.8377198067,2876.99262782128,21333.830347628,56.3313908434586,"k=5",162.173471141774,1360.74984341043,552.553885430427,0.141843940579161,2.15457334207688
"16",2004,0.952384167971357,20351.0348136248,1017.47959267187,21368.5144062967,48.6308585293391,"k=5",133.841720435761,2004.07288441281,3511.08434775891,0.200521078304369,1.66289291649708
"17",2005,0.719627416598841,27449.9794771388,10694.7310271872,38144.710504326,55.5387656369423,"k=5",152.525146493363,2241.49406139053,1489.64390201101,0.13163123305963,1.68724046269484
"18",2006,0.742392437279619,34568.5065835611,11995.1501129321,46563.6566964932,55.6832419380094,"k=5",113.343968948701,1467.82528801758,1050.22178560656,0.289358352349729,-0.458555053744336
"19",2007,0.698434895923315,24346.2387484717,10512.0406567784,34858.2794052501,56.6586957314334,"k=5",278.372299586374,1713.78876132454,255.165191209576,0.287150797941247,-0.229185230530386
"20",2008,0.884952378581846,24288.8206213423,3157.65131228379,27446.4719336261,51.4315850167628,"k=5",241.840045943731,1526.6337285501,185.865961550079,0.426613078214684,0.130360012956876
"21",2009,0.904278632537898,25293.493121699,2677.41342367816,27970.9065453772,54.4791308518558,"k=5",289.984572527192,1497.82927450488,1294.04998621756,0.407735421316964,-0.601962690131797
