"","YEAR","PMAT_5565","MATURE","IMMATURE","TOT_CRAB","SAM","MALE_LG_ABUND","FEM_MAT_ABUND","FEM_COHORT_ABUND","ICE","FEM_TOCC"
"1",1989,0.894541288685311,40084.8222,4725.65519999999,44810.4774,49.6657092819834,278.359304993874,4625.9111046775,213.816446748438,0.143299242914939,2.47085542790202
"2",1990,0.806432624332958,29221.9408,7014.119,36236.0598,62.6386562406599,637.019411135712,3008.69464513853,445.225722394015,0.309769648337851,1.01992072157661
"3",1991,0.812917720382357,35138.0259,8086.5527,43224.5786,63.0807608130773,401.085994511087,3545.37267994195,685.852110694863,0.378564515405772,1.21205256880332
"4",1992,0.863804413463345,24547.0612,3870.3222,28417.3834,50.4426267163966,261.191864631541,2068.88468404106,1074.20156460008,0.371333362812899,0.448150774233517
"5",1993,0.900765791978364,18764.5195,2067.2213,20831.7408,49.1282437725468,150.749290075954,2396.29197468998,1783.11486039377,0.253824332101004,1.24072870878515
"6",1994,0.918353594063798,30372.3093,2700.2561,33072.5654,47.8155876773821,88.8088090017088,2204.80220875643,1882.98224971515,0.276512058803013,-0.790951033676612
"7",1995,0.971753776620938,30419.0104,884.197400000001,31303.2078,45.7002204343154,119.835934328763,3109.07350971787,685.08781976732,0.401109550631776,0.177922218873977
"8",1996,0.967461677383062,16851.5923,566.7641,17418.3564,42.4055310587853,235.62952923553,2107.16563083695,158.795371383246,0.139272242954799,2.4666014672113
"9",1997,0.979853741859479,18681.947,384.109700000001,19066.0567,47.8705745243554,284.035576135522,2001.04632059558,45.6359280103595,0.322271286322146,1.73270767283851
"10",1998,0.878383034300907,13482.5106,1866.7278,15349.2384,57.7753037561493,210.54285255322,1386.67671857478,77.9407799618032,0.333276566485969,1.87291362578124
"11",1999,0.881246753195103,6736.1276,907.7333,7643.8609,49.1932388686909,99.6029938060018,551.010521539094,61.2449772734703,0.371036071777344,0.119237660217326
"12",2000,0.93758469555726,15935.8322,1060.8533,16996.6855,48.9481839662061,95.8359350821172,1649.05339550694,175.797421184746,0.300246644312022,0.376857296660273
"13",2001,0.856157010773061,22714.3133,3816.2331,26530.5464,49.5447761005209,104.430797642809,1243.75503828584,235.182442720465,0.036588763801419,1.09862442889236
"14",2002,0.89628588763453,6346.0237,734.3329,7080.3566,57.6438830994333,88.4361418084273,502.830910815413,37.759480474454,0.303781676000478,2.02104167891734
"15",2003,0.864283693512029,9773.5423,1534.7149,11308.2572,56.3313908434586,87.9738913694054,680.200523324953,180.635848746778,0.141843940579161,2.48195973509843
"16",2004,0.952003703446664,10764.92502,542.725339999999,11307.65036,48.6308585293391,77.3076089718981,931.911258852147,1014.68633527413,0.200521078304369,1.51913743520778
"17",2005,0.719613000862134,14576.1564,5679.3926,20255.549,55.5387656369423,88.7201668436873,1110.94284549966,515.382817538878,0.13163123305963,1.76662452844306
"18",2006,0.741172937356837,18144.0421,6336.1314,24480.1735,55.6832419380094,64.8750838421842,744.26396876625,348.601912165842,0.289358352349729,-0.31831429372936
"19",2007,0.696455013327064,12854.1246,5602.3792,18456.5038,56.6586957314334,151.001499550975,839.627636974232,86.9042293308639,0.287150797941247,-0.233565976750919
"20",2008,0.883033360770015,12684.0897,1680.1351,14364.2248,51.4315850167628,133.926610932813,747.725027818752,61.07766813322,0.426613078214684,0.177110051113567
"21",2009,0.903187944865053,13293.4651,1424.9168,14718.3819,54.4791308518558,159.214115892259,747.249003008692,402.242737782319,0.407735421316964,-0.465290586625253
"22",2010,0.873287774210195,19745.9482,2865.0957,22611.0439,51.4837453185359,169.821581869356,1777.78644373479,1797.57577492261,0.420978997678173,-0.166590216402693
"23",2011,0.802086566867253,31367.2876,7739.8224,39107.11,46.8279954442453,178.762052390777,3137.03103898626,506.641066428394,0.253940585389429,1.3030953711772
"24",2012,0.740487949251533,25345.6416,8882.6556,34228.2972,47.9864223686094,103.473717030945,2656.05989296215,604.432000923907,0.536317593321508,0.121982317818432
"25",2013,0.772374016079571,21966.653,6473.782,28440.435,51.4297083028511,110.023923803551,2222.16319950489,418.216375741026,0.398448131327726,0.570335214196715
"26",2014,0.703616965843893,20416.566,8600.0254,29016.5914,62.9725923259923,200.118746309413,1815.55088815251,454.244351715015,0.137532890475526,2.08641241344521
