"","YEAR","IND_PREF","ALL_MAT","PROP_INDPREF","SAM","LG_ABUND","COHORT_ABUND","ICE","TOCC"
"1",1989,180.504142296143,1597.17854675624,0.113014379427231,97.0606825609146,526.76485541288,2507.49353815519,0.143299242914939,2.06448333640225
"2",1990,392.595628425379,1372.06967032435,0.286133887306591,100.385254727979,1211.67765393119,1635.92649067488,0.309769648337851,0.179881188543305
"3",1991,265.010290246009,1017.04104262855,0.260569907347189,100.557360482506,717.212455929488,3266.3996148153,0.378564515405772,0.952077873074251
"4",1992,211.757941559732,1084.62460556069,0.195236158643354,91.1080058381671,445.062631468853,3613.56609753356,0.371333362812899,0.670951368201674
"5",1993,105.074603965389,1541.3218835554,0.0681717460099968,70.3840662686018,266.289907643921,6471.58493094443,0.253824332101004,0.889984518679634
"6",1994,48.6873580199942,996.291452079251,0.048868589526071,94.8202156987055,156.983474761467,4485.75497247346,0.276512058803013,-0.651264712002491
"7",1995,61.5779812415543,1389.87067170816,0.0443048281361852,95.8572835497932,229.318944151705,3253.21098081517,0.401109550631776,-0.287167233870094
"8",1996,126.903895191418,1473.00910139455,0.0861528249019467,99.0862428237685,463.185773957072,1046.09672479289,0.139272242954799,1.64859004962994
"9",1997,196.369623423926,639.120096884984,0.307249958780854,100.630764531585,512.738626330108,388.222288577112,0.322271286322146,0.977335737404086
"10",1998,161.305811454681,466.611527851596,0.345696155852334,95.8979644825173,385.055634572404,660.507578613576,0.333276566485969,1.7214582530546
"11",1999,42.7019151144931,156.288129216557,0.273225582317415,91.5470063995092,179.227406760192,310.182750299382,0.371036071777344,-0.182473073490135
"12",2000,22.3225452632128,253.270715259849,0.0881370956776839,90.4413367281726,172.297895051465,1149.09977709117,0.300246644312022,0.440692152506988
"13",2001,34.4102698783085,576.473105096936,0.0596910238726962,94.281358656329,192.964458493203,1161.07545700915,0.036588763801419,0.767338232306717
"14",2002,48.5572526537761,258.604248100153,0.187766647340498,95.0616900797902,166.880936823781,370.367996059754,0.303781676000478,1.33407382498277
"15",2003,54.7973386002041,259.89149837719,0.210846984000511,98.3404121342544,162.173471141774,1197.45623392902,0.141843940579161,1.45571934072036
"16",2004,53.752803901634,347.701330746236,0.15459476035444,92.6797138328424,133.841720435761,1375.39085322682,0.200521078304369,0.35549288521408
"17",2005,49.5274030726694,997.24739173686,0.0496641089092345,84.3261216592484,152.525146493363,2003.57817520875,0.13163123305963,1.19031294476152
"18",2006,24.7528873779403,363.455528632311,0.0681043083072248,93.0316203351604,113.343968948701,990.93007650916,0.289358352349729,-0.708533379543129
"19",2007,115.251611677381,650.605336126917,0.177145198905805,95.113697200435,278.372299586374,1298.14753151258,0.287150797941247,-0.410643153904515
"20",2008,0,0,NA,NA,241.840045943731,480.804055022104,0.426613078214684,-0.459408506130492
"21",2009,87.7049852706223,431.576287292636,0.203220120875531,97.8938582650882,289.984572527192,875.713248920583,0.407735421316964,-0.419171073816762
"22",2010,146.975514694068,723.066505964446,0.203266938077885,89.9063608946801,289.544085665857,3573.34349244055,0.420978997678173,-0.00529625558547765
"23",2011,118.520595666612,990.448112017358,0.119663609055913,88.7518258385075,299.852866088733,1904.44922013147,0.253940585389429,0.996703957284951
"24",2012,0,0,NA,NA,179.495477429341,1058.43495928433,0.536317593321508,-0.302397266301968
"25",2013,69.9357546020433,495.104749069918,0.141254461269906,93.741372276883,199.047507082627,942.047118386737,0.398448131327726,-0.104862560292677
"26",2014,0,0,NA,NA,360.384299055407,1426.01116197597,0.137532890475526,1.80930211080937
"27",2015,46.3363062376482,330.637009856123,0.140142527473895,92.6429516924348,145.088750184449,1257.91033427684,0.141542539012675,0.153916955066183
"28",2016,0,0,NA,NA,105.278773563741,2805.91027182053,0.0799238243881537,0.671305660130721
"29",2017,39.1750148999911,881.783129030859,0.0444270406296469,84.0514845911425,106.341650647413,5359.79186788929,0.171617356903699,-0.0391258500292395
"30",2018,63.8159964737661,3139.30900023606,0.0203280392178557,71.4175260904935,192.556912052066,7882.589261621,0.0123427410514987,3.25905014686083
"31",2019,79.6050562409639,1421.41388267911,0.0560041358896276,86.9207283526579,237.884079277454,870.480666204972,0.017243614975287,2.51573300460704
"32",2021,30.6190604995638,204.665016195083,0.149605736577757,88.1806685402375,108.249094590327,19.4110291021238,0.104082815987723,2.35234869163681
"33",2022,23.733362519032,137.442280952189,0.17267875907333,89.9996099442035,75.5443018522231,749.413414500997,0.280262824856505,-0.585294120697494
"34",2023,19.9238267205458,157.12349192903,0.126803614634182,92.4028486235525,54.9473548633919,723.378902514666,0.169087362484056,-0.287326538361402
"35",2024,22.5719036156661,646.516613147577,0.0349131068817774,94.1912692224542,81.2328348153566,2938.0888805873,0.178222052126515,0.442163666922968
"36",2025,35.6268024808248,1387.01956453351,0.0256858687446178,77.0949001596041,124.247533334706,2903.07552617497,0.101361881178253,0.677105644839166
"37",2020,NA,NA,NA,NA,NA,NA,NA,NA
