"year","value","sd","n","se"
1980,0.345136942960778,0.334492618803373,4900,0.00477846598290532
1981,0.222524862484056,0.29803866016766,4900,0.00425769514525228
1982,0.190145662268814,0.242209690367892,4900,0.00346013843382702
1983,0.273730960768096,0.304540186943484,4900,0.00435057409919263
1984,0.316826869419643,0.323901492874312,4900,0.00462716418391874
1985,0.176643390266263,0.271006134212436,4900,0.0038715162030348
1986,0.229624995017538,0.272519967244219,4900,0.00389314238920313
1987,0.137202167121731,0.247253978710397,4900,0.00353219969586281
1988,0.280441745057398,0.313609282295708,4900,0.0044801326042244
1989,0.143299242914939,0.202194639271377,4900,0.00288849484673395
1990,0.309769648337851,0.34996295936305,4900,0.00499947084804357
1991,0.378564515405772,0.354127923565128,4900,0.00505897033664469
1992,0.371333362812899,0.343759791473085,4900,0.00491085416390122
1993,0.253824332101004,0.307834977260384,4900,0.0043976425322912
1994,0.276512058803013,0.316567571298297,4900,0.00452239387568996
1995,0.401109550631776,0.332631200855889,4900,0.00475187429794128
1996,0.139272242954799,0.229944634608107,4900,0.00328492335154439
1997,0.322271286322146,0.329948046875334,4900,0.00471354352679048
1998,0.333276566485969,0.344251099171125,4900,0.00491787284530179
1999,0.371036071777344,0.353778962756035,4900,0.00505398518222907
2000,0.300246644312022,0.324879131312055,4900,0.00464113044731507
2001,0.036588763801419,0.107887354042949,4900,0.00154124791489928
2002,0.303781676000478,0.343150745297377,4900,0.00490215350424825
2003,0.141843940579161,0.244569759107094,4900,0.00349385370152992
2004,0.200521078304369,0.271305954548553,4900,0.00387579935069362
2005,0.13163123305963,0.241228729316157,4900,0.00344612470451653
2006,0.289358352349729,0.309875734104117,4900,0.00442679620148739
2007,0.287150797941247,0.306559128625112,4900,0.00437941612321589
2008,0.426613078214684,0.350563183600141,4900,0.00500804548000201
2009,0.407735421316964,0.329913787246423,4900,0.00471305410352032
2010,0.420978997678173,0.352880136921726,4900,0.00504114481316751
2011,0.253940585389429,0.300013789631539,4900,0.00428591128045056
2012,0.536317593321508,0.34135615460143,4900,0.00487651649430614
2013,0.398448131327726,0.362004337743892,4900,0.00517149053919845
2014,0.137532890475526,0.236358829599731,4900,0.00337655470856759
2015,0.141542539012675,0.23658733416794,4900,0.00337981905954199
2016,0.0799238243881537,0.183080760074658,4900,0.00261543942963797
2017,0.171617356903699,0.257660449438177,4900,0.00368086356340253
2018,0.0123427410514987,0.0455897970586662,4900,0.000651282815123803
2019,0.017243614975287,0.0831861252572674,4900,0.00118837321796096
2020,0.181644193688217,0.278662310595133,4900,0.00398089015135905
2021,0.104082815987723,0.215581719981546,4900,0.00307973885687923
2022,0.280262824856505,0.303289230513077,4900,0.00433270329304396
2023,0.169087362484056,0.263075536299359,4900,0.00375822194713369
2024,0.178222052126515,0.270695985307757,4900,0.00386708550439653
2025,0.101361881178253,0.218362497304215,4900,0.00311946424720308
