"year","name","value","se"
1980,"Jan-Feb ice",0.217645407164375,0.00471083806325893
1980,"Mar-Apr ice",0.199667480423556,0.00442252499158554
1981,"Jan-Feb ice",0.191754900054197,0.00448587657981727
1981,"Mar-Apr ice",0.159859582081145,0.00403105006532222
1982,"Jan-Feb ice",0.143127565691092,0.00376680707736084
1982,"Mar-Apr ice",0.169130612726081,0.00412701319383336
1983,"Jan-Feb ice",0.189576525725245,0.00436742506231276
1983,"Mar-Apr ice",0.18732168797165,0.00430819158735359
1984,"Jan-Feb ice",0.158303696859417,0.00389283692198235
1984,"Mar-Apr ice",0.228754449623331,0.00459134833101554
1985,"Jan-Feb ice",0.0800778679563486,0.00267756559453741
1985,"Mar-Apr ice",0.209337513431802,0.0046339677413678
1986,"Jan-Feb ice",0.140287956455291,0.00374655542793644
1986,"Mar-Apr ice",0.18369930172708,0.00397842694948781
1987,"Jan-Feb ice",0.144786406781487,0.0039704305922474
1987,"Mar-Apr ice",0.168373068364979,0.00433784220074408
1988,"Jan-Feb ice",0.154017491148208,0.00408844778609412
1988,"Mar-Apr ice",0.231915061185202,0.00469263901862309
1989,"Jan-Feb ice",0.158668255373444,0.00398517705593652
1989,"Mar-Apr ice",0.107841144266591,0.00297624443230568
1990,"Jan-Feb ice",0.209619046846437,0.00486791556924988
1990,"Mar-Apr ice",0.214279578730425,0.00475078791042934
1991,"Jan-Feb ice",0.221269858232122,0.00473977467272358
1991,"Mar-Apr ice",0.231712719812432,0.00492274224951508
1992,"Jan-Feb ice",0.197008725406063,0.00466101503090854
1992,"Mar-Apr ice",0.245398924289832,0.00490925018911514
1993,"Jan-Feb ice",0.175773598008225,0.00410964567090623
1993,"Mar-Apr ice",0.180785130059794,0.00439130909279838
1994,"Jan-Feb ice",0.152064541276849,0.0040004112021625
1994,"Mar-Apr ice",0.230877607586383,0.00476752003947417
1995,"Jan-Feb ice",0.220441304856166,0.00472557207115634
1995,"Mar-Apr ice",0.243642285151731,0.00484449030167204
1996,"Jan-Feb ice",0.151772152711091,0.00400921617447658
1996,"Mar-Apr ice",0.127810063339171,0.00354948587599291
1997,"Jan-Feb ice",0.175495437232268,0.00424132786382694
1997,"Mar-Apr ice",0.200940417078238,0.00447050522883719
1998,"Jan-Feb ice",0.239754821935524,0.00489243697989242
1998,"Mar-Apr ice",0.177698267428622,0.00428992876151061
1999,"Jan-Feb ice",0.204123713448506,0.0046570082402089
1999,"Mar-Apr ice",0.254456851624507,0.00506129444401386
2000,"Jan-Feb ice",0.236096681201515,0.0047910867122656
2000,"Mar-Apr ice",0.173096030785039,0.0042773171581555
2001,"Jan-Feb ice",0.08288055894464,0.00289818349758632
2001,"Mar-Apr ice",0.137800570462907,0.00390855225360175
2002,"Jan-Feb ice",0.247402466566022,0.00499415344004603
2002,"Mar-Apr ice",0.149411763230415,0.0039378915729464
2003,"Jan-Feb ice",0.139790901825279,0.00383705313252598
2003,"Mar-Apr ice",0.151141438207023,0.00400226101444424
2004,"Jan-Feb ice",0.141693296012328,0.0038010579912378
2004,"Mar-Apr ice",0.165196630258288,0.00398402155909276
2005,"Jan-Feb ice",0.127407154477291,0.00364038325156395
2005,"Mar-Apr ice",0.169142648583207,0.00426807978682976
2006,"Jan-Feb ice",0.219213461002038,0.0047467355746386
2006,"Mar-Apr ice",0.192016011209499,0.00452771347155409
2007,"Jan-Feb ice",0.168769474869876,0.00420831010936087
2007,"Mar-Apr ice",0.2153163176914,0.00450008595184535
2008,"Jan-Feb ice",0.195301379331259,0.00446602194481013
2008,"Mar-Apr ice",0.275835386782565,0.00506635026007711
