"year","name","value"
1989,"Jan-Feb ice",-0.274210373886756
1989,"Mar-Apr ice",-1.3967033689454
1990,"Jan-Feb ice",0.569877822765616
1990,"Mar-Apr ice",0.488636708542037
1991,"Jan-Feb ice",0.856718297314646
1991,"Mar-Apr ice",0.946419113321091
1992,"Jan-Feb ice",0.3866815453564
1992,"Mar-Apr ice",1.25647101464918
1993,"Jan-Feb ice",0.0640240289426626
1993,"Mar-Apr ice",0.126074342178652
1994,"Jan-Feb ice",-0.277288264093502
1994,"Mar-Apr ice",0.929472774071015
1995,"Jan-Feb ice",0.96245127915713
1995,"Mar-Apr ice",1.15548812949864
1996,"Jan-Feb ice",-0.378574534985329
1996,"Mar-Apr ice",-0.934723545375024
1997,"Jan-Feb ice",0.141641808573854
1997,"Mar-Apr ice",0.41691874415435
1998,"Jan-Feb ice",1.15414702095292
1998,"Mar-Apr ice",0.0611585112174157
1999,"Jan-Feb ice",0.343720007104984
1999,"Mar-Apr ice",0.866618495088666
2000,"Jan-Feb ice",1.02438997206812
2000,"Mar-Apr ice",-0.153682863351578
2001,"Jan-Feb ice",-1.59548932397936
2001,"Mar-Apr ice",-0.920636165456268
2002,"Jan-Feb ice",1.49748957840989
2002,"Mar-Apr ice",-0.50466483928388
2003,"Jan-Feb ice",-0.443696291039433
2003,"Mar-Apr ice",-0.527060622924934
2004,"Jan-Feb ice",-0.45166261590532
2004,"Mar-Apr ice",-0.220223605386105
2005,"Jan-Feb ice",-0.821567061914166
2005,"Mar-Apr ice",-0.202330629162375
2006,"Jan-Feb ice",1.04337620555983
2006,"Mar-Apr ice",0.0145105391059863
2007,"Jan-Feb ice",0.0855955218173859
2007,"Mar-Apr ice",0.418634377674407
2009,"Jan-Feb ice",1.1799177118591
2009,"Mar-Apr ice",0.799786035627837
2010,"Jan-Feb ice",0.670853953902351
2010,"Mar-Apr ice",1.42907151936001
2011,"Jan-Feb ice",-0.0361988553993315
2011,"Mar-Apr ice",-0.151636216503621
2012,"Jan-Feb ice",1.22022600633254
2012,"Mar-Apr ice",1.74678226407349
2013,"Jan-Feb ice",0.776558829459669
2013,"Mar-Apr ice",1.1987421953762
2015,"Jan-Feb ice",-1.26485276217494
2015,"Mar-Apr ice",-0.368501597004758
2017,"Jan-Feb ice",-1.20832955361517
2017,"Mar-Apr ice",-0.545104795345
2018,"Jan-Feb ice",-1.892499986146
2018,"Mar-Apr ice",-2.31658609218547
2019,"Jan-Feb ice",-1.37130335346407
2019,"Mar-Apr ice",-2.44446140207514
2021,"Jan-Feb ice",-0.68011281525464
2021,"Mar-Apr ice",-0.592061163039237
2022,"Jan-Feb ice",0.430757846207279
2022,"Mar-Apr ice",-0.137410044709743
2023,"Jan-Feb ice",-0.186580173300589
2023,"Mar-Apr ice",-0.271636356164283
2024,"Jan-Feb ice",-0.363500551007193
2024,"Mar-Apr ice",0.0622194888032631
2025,"Jan-Feb ice",-1.16256091961858
2025,"Mar-Apr ice",-0.229580945829418
