"year","name","value"
1989,"Jan-Feb ice",0.23947501362903
1989,"Mar-Apr ice",0.150025222016535
1990,"Jan-Feb ice",0.351260002009266
1990,"Mar-Apr ice",0.378020578481546
1991,"Jan-Feb ice",0.38797447216132
1991,"Mar-Apr ice",0.433937522899726
1992,"Jan-Feb ice",0.324801569566905
1992,"Mar-Apr ice",0.471232119438568
1993,"Jan-Feb ice",0.292449981951076
1993,"Mar-Apr ice",0.33390329488888
1994,"Jan-Feb ice",0.24735338111989
1994,"Mar-Apr ice",0.431896554059112
1995,"Jan-Feb ice",0.397516116913196
1995,"Mar-Apr ice",0.459123758613252
1996,"Jan-Feb ice",0.239726233470338
1996,"Mar-Apr ice",0.206128234401593
1997,"Jan-Feb ice",0.303347766008632
1997,"Mar-Apr ice",0.369376355208235
1998,"Jan-Feb ice",0.418333760548648
1998,"Mar-Apr ice",0.326443547620595
1999,"Jan-Feb ice",0.323930425831482
1999,"Mar-Apr ice",0.424637656469148
2000,"Jan-Feb ice",0.387907865969629
2000,"Mar-Apr ice",0.30082823445084
2001,"Jan-Feb ice",0.0965842104174546
2001,"Mar-Apr ice",0.208223459279363
2002,"Jan-Feb ice",0.454657504129338
2002,"Mar-Apr ice",0.257791731733898
2003,"Jan-Feb ice",0.237516156002781
2003,"Mar-Apr ice",0.254867553710938
2004,"Jan-Feb ice",0.235835111447795
2004,"Mar-Apr ice",0.292255542041434
2005,"Jan-Feb ice",0.194146068301756
2005,"Mar-Apr ice",0.295081788340543
2006,"Jan-Feb ice",0.395819298017524
2006,"Mar-Apr ice",0.321439095716914
2007,"Jan-Feb ice",0.286450977104214
2007,"Mar-Apr ice",0.36963974052887
2009,"Jan-Feb ice",0.416214366303029
2009,"Mar-Apr ice",0.416736027596878
2010,"Jan-Feb ice",0.365269948061944
2010,"Mar-Apr ice",0.492028017568276
2011,"Jan-Feb ice",0.278657752579051
2011,"Mar-Apr ice",0.3012626136245
2013,"Jan-Feb ice",0.376637676660304
2013,"Mar-Apr ice",0.464222517989828
2015,"Jan-Feb ice",0.143482387156061
2015,"Mar-Apr ice",0.275006923781341
2017,"Jan-Feb ice",0.14873207234639
2017,"Mar-Apr ice",0.252877609091339
2018,"Jan-Feb ice",0.0659656149536687
2018,"Mar-Apr ice",0.038720427651148
2019,"Jan-Feb ice",0.118201620820431
2019,"Mar-Apr ice",0.0234499347973399
2021,"Jan-Feb ice",0.20713856938026
2021,"Mar-Apr ice",0.247555962128286
2022,"Jan-Feb ice",0.334587393417782
2022,"Mar-Apr ice",0.302351720274186
2023,"Jan-Feb ice",0.262770298329256
2023,"Mar-Apr ice",0.286489997436708
2024,"Jan-Feb ice",0.243398561540181
2024,"Mar-Apr ice",0.326781780264081
2025,"Jan-Feb ice",0.146574596533917
2025,"Mar-Apr ice",0.291584363082293
