"","YEAR","PROP_INDPREF","ALL_MAT","IND_PREF","COHORT_ABUND","LG_ABUND_lag1","LG_ABUND_avg2","ICE_avg2","ICE","TOCC","TOCC_avg2"
"1",1989,0.108579029498765,1720.55609314423,186.816310791788,2204.07423489741,NA,NA,NA,0.143299242914939,2.14003728108098,NA
"2",1990,0.288976510254214,1407.20554621629,406.64934795596,1584.68169495554,538.425025472486,888.515747850695,0.226534445626395,0.309769648337851,0.149786288972921,1.14491178502695
"3",1991,0.254344330230668,1089.79497344236,277.183172608945,2835.03359651036,1238.6064702289,987.994745563036,0.344167081871811,0.378564515405772,0.975101079013841,0.562443683993381
"4",1992,0.203692058715714,1084.44434370333,220.892700931544,2670.41233119953,737.383020897168,598.342684151459,0.374948939109336,0.371333362812899,0.487946580402934,0.731523829708387
"5",1993,0.0663654961269299,1646.67379564599,109.282323407261,5397.28954623096,459.302347405751,366.590113235907,0.312578847456952,0.253824332101004,0.882190895879352,0.685068738141143
"6",1994,0.0453271061645426,1120.23735726227,50.7771176221137,3882.02097227184,273.877879066063,217.744249938246,0.265168195452009,0.276512058803013,-0.632197334414308,0.124996780732522
"7",1995,0.0405393490535742,1576.23311984519,63.8994646352083,3172.44039958144,161.610620810428,198.045300913913,0.338810804717394,0.401109550631776,-0.281932299435286,-0.457064816924797
"8",1996,0.0835529640099054,1564.61826273437,130.728493395486,1088.30075170817,234.479981017397,353.222771176161,0.270190896793288,0.139272242954799,1.64641803885606,0.682242869710387
"9",1997,0.313358770797045,652.320215577436,204.410260919409,388.208200812126,471.965561334924,499.125133831294,0.230771764638473,0.322271286322146,0.949287010537272,1.29785252469667
"10",1998,0.347418929490758,480.833153604478,167.050539488933,583.145372320003,526.284706327664,460.51877074025,0.327773926404058,0.333276566485969,1.76350956379324,1.35639828716526
"11",1999,0.259649134825942,171.432876742425,44.5123981268932,295.060388703718,394.752835152837,289.415317327041,0.352156319131656,0.371036071777344,-0.193318204551708,0.785095679620766
"12",2000,0.0808333362020323,288.501787227632,23.3205619618583,1040.91874698841,184.077799501244,180.546455998161,0.335641358044683,0.300246644312022,0.494553431580077,0.150617613514184
"13",2001,0.0557394463497485,638.449480141695,35.5868205453828,1072.50442218035,177.015112495078,187.391360000292,0.168417704056721,0.036588763801419,0.88507492437342,0.689814177976748
"14",2002,0.188752663717117,265.591188835183,50.1310443524368,342.976408755692,197.767607505505,184.226498039424,0.170185219900949,0.303781676000478,1.36611222881964,1.12559357659653
