"","YEAR","SPECIES","DISTRICT","SAM"
"1",1980,"SNOW","ALL",45.4824057740947
"2",1981,"SNOW","ALL",40.9471733470903
"3",1982,"SNOW","ALL",38.5386494335575
"4",1983,"SNOW","ALL",41.5214428605663
"5",1984,"SNOW","ALL",49.8976712125166
"6",1985,"SNOW","ALL",50.8773404799806
"7",1986,"SNOW","ALL",60.4495810521062
"8",1987,"SNOW","ALL",59.8009603475739
"9",1988,"SNOW","ALL",47.3471780948429
"10",1989,"SNOW","ALL",49.6657092819844
"11",1990,"SNOW","ALL",62.63865624066
"12",1991,"SNOW","ALL",63.0807608130772
"13",1992,"SNOW","ALL",50.4426267163966
"14",1993,"SNOW","ALL",49.1282437725469
"15",1994,"SNOW","ALL",47.815587677382
"16",1995,"SNOW","ALL",45.7002204343155
"17",1996,"SNOW","ALL",42.4055310587853
"18",1997,"SNOW","ALL",47.870574524355
"19",1998,"SNOW","ALL",57.7753037561487
"20",1999,"SNOW","ALL",49.1932388686908
"21",2000,"SNOW","ALL",48.948183966206
"22",2001,"SNOW","ALL",49.5447761005215
"23",2002,"SNOW","ALL",57.6438830994322
"24",2003,"SNOW","ALL",56.3313908434563
"25",2004,"SNOW","ALL",48.6308585293384
"26",2005,"SNOW","ALL",55.5387656369435
"27",2006,"SNOW","ALL",55.6832419380089
"28",2007,"SNOW","ALL",56.6586957314326
"29",2008,"SNOW","ALL",51.4315850167624
"30",2009,"SNOW","ALL",54.4791308518558
"31",2010,"SNOW","ALL",51.483745318536
"32",2011,"SNOW","ALL",46.8279954442455
"33",2012,"SNOW","ALL",47.9864223686095
"34",2013,"SNOW","ALL",51.4297083028513
"35",2014,"SNOW","ALL",62.9725923259917
"36",2015,"SNOW","ALL",53.8278125619507
"37",2016,"SNOW","ALL",53.2847180703859
"38",2017,"SNOW","ALL",46.1190781294389
"39",2018,"SNOW","ALL",46.7394397805319
"40",2019,"SNOW","ALL",37.3589793414886
"41",2021,"SNOW","ALL",50.4592725744515
"42",2022,"SNOW","ALL",52.5577898074003
"43",2023,"SNOW","ALL",53.5837005842603
"44",2024,"SNOW","ALL",62.8742267051258
"45",2025,"SNOW","ALL",57.7317335476798
